organization,activity_id,activity_type,sample_media,sample_date,site_id,site_name,latitude,longitude,pfas_compound,detection_condition,result_value,result_unit,result_status,analytical_method,reporting_limit_type,reporting_limit,reporting_limit_unit,provider,result_value_numeric
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorohexanesulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,"1-Decanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heneicosafluoro-",Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,"4,8-Dioxa-3H-perfluorononanoic acid",Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorobutanesulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,N-ethyl perfluorooctanesulfonamidoacetic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,6:2 Fluorotelomer sulfonate acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluoropentanesulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Hexafluoropropylene oxide dimer acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,7.1,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,N-methylperfluoro-1-octanesulfonamide,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorooctane sulfonic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluorododecanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,"Perfluoro-3,6-dioxaheptanoic acid",Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,3.5,ng/L,STORET,
Great Lakes Environmental Center,GLEC-NRSA2.3-10121-1,Sample-Routine,Water,2024-11-09,GLEC-10121,Colorado River,35.9483,-114.73015,Perfluoroundecanoic acid,Not Detected,ND,ng/L,Final,"Analysis of Per- and Polyfluoroalkyl Substances (PFAS) in Aqueous, Solid, Biosolids, and Tissue Samples by LC-MS/MS",Laboratory Reporting Level,1.8,ng/L,STORET,
